Date,Weather_ID,Location_ID,Rainfall_Index,Temperature
2020-02-19,W1,L1,194.1,28
2020-11-05,W2,L1,194.1,28
2020-11-14,W3,L1,194.1,28
2020-05-21,W4,L1,194.1,28
2020-09-29,W5,L1,194.1,28
2020-06-15,W6,L1,194.1,28
2020-07-05,W7,L1,194.1,28
2023-03-22,W8,L1,194.1,28
2023-06-19,W9,L1,194.1,28
2023-07-06,W10,L1,194.1,28
2023-07-15,W11,L1,194.1,28
2023-09-24,W12,L1,194.1,28
2023-05-15,W13,L1,194.1,28
2023-11-13,W14,L1,194.1,28
2023-06-30,W15,L1,194.1,28
2023-01-27,W16,L1,194.1,28
2023-06-25,W17,L1,194.1,28
2023-10-12,W18,L1,194.1,28
2021-06-16,W19,L1,194.1,28
2020-11-26,W20,L2,194.1,28
2020-07-06,W21,L2,194.1,28
2023-08-19,W22,L2,194.1,28
2023-12-19,W23,L2,194.1,28
2023-05-28,W24,L2,194.1,28
2023-02-01,W25,L2,194.1,28
2023-05-03,W26,L2,194.1,28
2023-07-22,W27,L2,194.1,28
2023-11-28,W28,L2,194.1,28
2023-11-12,W29,L2,194.1,28
2021-03-24,W30,L2,194.1,28
2021-08-07,W31,L2,194.1,28
2020-02-08,W32,L1,194.1,28
2020-07-06,W33,L1,194.1,28
2020-10-05,W34,L1,194.1,28
2020-02-02,W35,L1,194.1,28
2023-04-11,W36,L1,194.1,28
2023-11-17,W37,L1,194.1,28
2023-09-02,W38,L1,194.1,28
2023-07-19,W39,L1,194.1,28
2023-01-15,W40,L1,194.1,28
2023-02-15,W41,L1,194.1,28
2023-05-06,W42,L1,194.1,28
2023-08-25,W43,L1,194.1,28
2023-04-20,W44,L1,194.1,28
2023-07-29,W45,L1,194.1,28
2023-08-18,W46,L1,194.1,28
2023-12-22,W47,L1,194.1,28
2021-09-17,W48,L1,194.1,28
2020-07-09,W49,L2,194.1,28
2020-06-07,W50,L2,194.1,28
2020-10-05,W51,L2,194.1,28
2023-03-12,W52,L2,194.1,28
2023-02-17,W53,L2,194.1,28
2023-06-17,W54,L2,194.1,28
2023-12-23,W55,L2,194.1,28
2023-05-18,W56,L2,194.1,28
2023-06-05,W57,L2,194.1,28
2023-06-25,W58,L2,194.1,28
2023-12-02,W59,L2,194.1,28
2023-01-13,W60,L2,194.1,28
2023-07-10,W61,L2,194.1,28
2023-11-04,W62,L2,194.1,28
2021-05-01,W63,L2,194.1,28
2021-10-28,W64,L2,194.1,28
2020-09-21,W65,L1,194.1,28
2020-06-01,W66,L1,194.1,28
2023-02-01,W67,L1,194.1,28
2023-05-07,W68,L1,194.1,28
2023-02-20,W69,L1,194.1,28
2023-03-23,W70,L1,194.1,28
2023-10-09,W71,L1,194.1,28
2023-08-29,W72,L1,194.1,28
2023-11-28,W73,L1,194.1,28
2023-02-05,W74,L1,194.1,28
2021-07-10,W75,L1,194.1,28
2021-03-08,W76,L1,194.1,28
2020-02-03,W77,L2,194.1,28
2020-11-18,W78,L2,194.1,28
2020-04-08,W79,L2,194.1,28
2020-04-17,W80,L2,194.1,28
2020-11-12,W81,L2,194.1,28
2023-01-28,W82,L2,194.1,28
2023-05-06,W83,L2,194.1,28
2023-05-27,W84,L2,194.1,28
2023-08-06,W85,L2,194.1,28
2023-09-13,W86,L2,194.1,28
2023-01-02,W87,L2,194.1,28
2023-01-17,W88,L2,194.1,28
2023-07-07,W89,L2,194.1,28
2021-03-04,W90,L2,194.1,28
2021-03-20,W91,L2,194.1,28
2020-07-08,W92,L7,194.1,28
2020-01-04,W93,L7,194.1,28
2020-10-30,W94,L7,194.1,28
2023-01-07,W95,L7,194.1,28
2023-08-01,W96,L7,194.1,28
2023-05-08,W97,L7,194.1,28
2023-12-09,W98,L7,194.1,28
2023-02-22,W99,L7,194.1,28
2021-06-22,W100,L7,194.1,28
2020-06-11,W101,L8,194.1,28
2020-09-08,W102,L8,194.1,28
2020-01-06,W103,L8,194.1,28
2020-08-24,W104,L8,194.1,28
2020-01-11,W105,L8,194.1,28
2023-12-24,W106,L8,194.1,28
2023-04-03,W107,L8,194.1,28
2023-05-24,W108,L8,194.1,28
2023-01-08,W109,L8,194.1,28
2021-02-18,W110,L8,194.1,28
2020-02-16,W111,L2,194.1,28
2020-04-16,W112,L2,194.1,28
2020-09-22,W113,L2,194.1,28
2023-08-17,W114,L2,194.1,28
2023-08-28,W115,L2,194.1,28
2023-07-14,W116,L2,194.1,28
2023-04-24,W117,L2,194.1,28
2023-11-25,W118,L2,194.1,28
2020-01-08,W119,L1,194.1,28
2020-01-10,W120,L1,194.1,28
2020-08-26,W121,L1,194.1,28
2020-01-13,W122,L1,194.1,28
2020-07-20,W123,L1,194.1,28
2020-04-27,W124,L1,194.1,28
2020-10-04,W125,L1,194.1,28
2023-03-17,W126,L1,194.1,28
2023-12-13,W127,L1,194.1,28
2023-06-29,W128,L1,194.1,28
2023-05-17,W129,L1,194.1,28
2023-06-19,W130,L1,194.1,28
2023-10-08,W131,L1,194.1,28
2023-01-07,W132,L1,194.1,28
2023-04-26,W133,L1,194.1,28
2021-02-20,W134,L1,194.1,28
2021-06-20,W135,L1,194.1,28
2020-06-17,W136,L2,194.1,28
2020-07-21,W137,L2,194.1,28
2020-08-30,W138,L2,194.1,28
2020-10-14,W139,L2,194.1,28
2023-02-02,W140,L2,194.1,28
2023-06-20,W141,L2,194.1,28
2023-11-18,W142,L2,194.1,28
2023-03-18,W143,L2,194.1,28
2023-03-13,W144,L2,194.1,28
2023-04-22,W145,L2,194.1,28
2023-08-20,W146,L2,194.1,28
2023-11-19,W147,L2,194.1,28
2023-01-16,W148,L2,194.1,28
2023-10-29,W149,L2,194.1,28
2023-12-17,W150,L2,194.1,28
2023-01-08,W151,L2,194.1,28
2021-03-02,W152,L2,194.1,28
2020-01-16,W153,L7,194.1,28
2020-02-05,W154,L7,194.1,28
2020-09-12,W155,L7,194.1,28
2023-10-25,W156,L7,194.1,28
2023-06-01,W157,L7,194.1,28
2023-04-08,W158,L7,194.1,28
2023-09-30,W159,L7,194.1,28
2021-12-03,W160,L7,194.1,28
2020-06-20,W161,L8,194.1,28
2020-08-21,W162,L8,194.1,28
2023-01-08,W163,L8,194.1,28
2023-08-07,W164,L8,194.1,28
2023-09-16,W165,L8,194.1,28
2023-04-13,W166,L8,194.1,28
2023-07-17,W167,L8,194.1,28
2023-10-15,W168,L8,194.1,28
2020-07-11,W169,L2,194.1,28
2020-10-13,W170,L2,194.1,28
2023-07-08,W171,L2,194.1,28
2023-02-28,W172,L2,194.1,28
2023-05-30,W173,L2,194.1,28
2023-08-18,W174,L2,194.1,28
2023-03-15,W175,L2,194.1,28
2023-11-10,W176,L2,194.1,28
2023-01-20,W177,L2,194.1,28
2023-02-04,W178,L2,194.1,28
2020-10-08,W179,L7,194.1,28
2020-01-25,W180,L7,194.1,28
2020-04-14,W181,L7,194.1,28
2020-08-23,W182,L7,194.1,28
2020-10-22,W183,L7,194.1,28
2020-10-10,W184,L7,194.1,28
2023-11-14,W185,L7,194.1,28
2023-02-22,W186,L7,194.1,28
2023-08-11,W187,L7,194.1,28
2023-03-28,W188,L7,194.1,28
2023-08-06,W189,L7,194.1,28
2021-04-14,W190,L7,194.1,28
2021-08-12,W191,L7,194.1,28
2020-07-29,W192,L8,194.1,28
2023-11-04,W193,L8,194.1,28
2023-08-26,W194,L8,194.1,28
2023-08-12,W195,L8,194.1,28
2023-04-29,W196,L8,194.1,28
2021-05-14,W197,L8,194.1,28
2021-08-13,W198,L8,194.1,28
2020-01-07,W199,L2,194.1,28
2020-01-21,W200,L2,194.1,28
2020-11-16,W201,L2,194.1,28
2020-06-23,W202,L2,194.1,28
2023-12-30,W203,L2,194.1,28
2023-12-15,W204,L2,194.1,28
2023-02-24,W205,L2,194.1,28
2023-03-16,W206,L2,194.1,28
2021-02-19,W207,L2,194.1,28
2021-10-17,W208,L2,194.1,28
2021-12-16,W209,L2,194.1,28
2021-04-16,W210,L2,194.1,28
2020-09-01,W211,L7,194.1,28
2020-03-10,W212,L7,194.1,28
2020-05-18,W213,L7,194.1,28
2023-02-01,W214,L7,194.1,28
2023-04-13,W215,L7,194.1,28
2023-11-19,W216,L7,194.1,28
2023-10-14,W217,L7,194.1,28
2023-12-13,W218,L7,194.1,28
2020-07-09,W219,L8,194.1,28
2023-09-05,W220,L8,194.1,28
2023-02-18,W221,L8,194.1,28
2023-10-26,W222,L8,194.1,28
2023-12-14,W223,L8,194.1,28
2023-03-15,W224,L8,194.1,28
2023-10-21,W225,L8,194.1,28
2021-08-06,W226,L8,194.1,28
2021-04-24,W227,L8,194.1,28
2020-06-01,W228,L2,194.1,28
2020-08-31,W229,L2,194.1,28
2020-10-30,W230,L2,194.1,28
2020-11-19,W231,L2,194.1,28
2020-04-27,W232,L2,194.1,28
2020-11-02,W233,L2,194.1,28
2020-09-28,W234,L2,194.1,28
2020-05-05,W235,L2,194.1,28
2023-09-26,W236,L2,194.1,28
2023-12-01,W237,L2,194.1,28
2023-02-08,W238,L2,194.1,28
2023-02-19,W239,L2,194.1,28
2023-05-05,W240,L2,194.1,28
2020-09-25,W241,L5,194.1,28
2020-10-26,W242,L5,194.1,28
2020-12-28,W243,L5,194.1,28
2020-09-24,W244,L5,194.1,28
2020-07-29,W245,L5,194.1,28
2023-04-10,W246,L5,194.1,28
2023-10-08,W247,L5,194.1,28
2023-06-05,W248,L5,194.1,28
2021-02-24,W249,L5,194.1,28
2020-12-06,W250,L6,194.1,28
2020-03-04,W251,L6,194.1,28
2020-11-24,W252,L6,194.1,28
2020-09-19,W253,L6,194.1,28
2023-03-18,W254,L6,194.1,28
2023-05-17,W255,L6,194.1,28
2023-12-18,W256,L6,194.1,28
2023-03-13,W257,L6,194.1,28
2023-06-10,W258,L6,194.1,28
2023-07-11,W259,L6,194.1,28
2023-09-18,W260,L6,194.1,28
2023-12-18,W261,L6,194.1,28
2021-01-16,W262,L6,194.1,28
2021-04-02,W263,L6,194.1,28
2021-06-01,W264,L6,194.1,28
2023-10-23,W265,L5,194.1,28
2023-10-22,W266,L5,194.1,28
2023-10-12,W267,L5,194.1,28
2023-10-23,W268,L5,194.1,28
2023-04-21,W269,L5,194.1,28
2021-08-03,W270,L5,194.1,28
2021-10-22,W271,L5,194.1,28
2021-12-01,W272,L5,194.1,28
2020-08-11,W273,L6,194.1,28
2020-07-27,W274,L6,194.1,28
2020-12-14,W275,L6,194.1,28
2023-02-21,W276,L6,194.1,28
2023-03-22,W277,L6,194.1,28
2023-05-02,W278,L6,194.1,28
2023-10-09,W279,L6,194.1,28
2023-01-01,W280,L6,194.1,28
2023-09-29,W281,L6,194.1,28
2020-11-03,W282,L5,194.1,28
2020-08-18,W283,L5,194.1,28
2023-07-19,W284,L5,194.1,28
2023-10-18,W285,L5,194.1,28
2023-09-18,W286,L5,194.1,28
2023-09-27,W287,L5,194.1,28
2023-03-17,W288,L5,194.1,28
2023-09-22,W289,L5,194.1,28
2023-07-10,W290,L5,194.1,28
2021-01-22,W291,L5,194.1,28
2021-03-12,W292,L5,194.1,28
2020-09-17,W293,L6,194.1,28
2020-06-03,W294,L6,194.1,28
2020-01-09,W295,L6,194.1,28
2020-08-05,W296,L6,194.1,28
2020-04-12,W297,L6,194.1,28
2023-01-26,W298,L6,194.1,28
2023-01-27,W299,L6,194.1,28
2023-11-12,W300,L6,194.1,28
2023-10-18,W301,L6,194.1,28
2023-08-05,W302,L6,194.1,28
2023-10-24,W303,L6,194.1,28
2023-12-07,W304,L6,194.1,28
2021-05-27,W305,L6,194.1,28
2020-05-22,W306,L5,194.1,28
2020-01-08,W307,L5,194.1,28
2020-03-08,W308,L5,194.1,28
2020-08-15,W309,L5,194.1,28
2020-01-22,W310,L5,194.1,28
2020-06-19,W311,L5,194.1,28
2023-04-25,W312,L5,194.1,28
2023-07-05,W313,L5,194.1,28
2023-05-01,W314,L5,194.1,28
2023-08-24,W315,L5,194.1,28
2023-02-09,W316,L5,194.1,28
2020-11-16,W317,L6,194.1,28
2020-02-24,W318,L6,194.1,28
2020-04-04,W319,L6,194.1,28
2020-10-09,W320,L6,194.1,28
2023-04-17,W321,L6,194.1,28
2023-01-31,W322,L6,194.1,28
2023-08-29,W323,L6,194.1,28
2021-02-25,W324,L6,194.1,28
2022-06-10,W325,L5,194.1,28
2022-07-05,W326,L5,194.1,28
2022-07-02,W327,L5,194.1,28
2022-06-17,W328,L5,194.1,28
2022-06-21,W329,L5,194.1,28
2022-06-09,W330,L5,194.1,28
2022-06-27,W331,L5,194.1,28
2022-06-07,W332,L5,194.1,28
2022-07-05,W333,L5,194.1,28
2022-06-20,W334,L5,194.1,28
2022-06-15,W335,L5,194.1,28
2022-06-29,W336,L5,194.1,28
2022-06-08,W337,L5,194.1,28
2022-06-13,W338,L5,194.1,28
2022-06-08,W339,L5,194.1,28
2022-06-27,W340,L5,194.1,28
2022-06-14,W341,L5,194.1,28
2022-06-14,W342,L5,194.1,28
2022-06-14,W343,L5,194.1,28
2022-06-12,W344,L5,194.1,28
2022-06-24,W345,L5,194.1,28
2022-06-22,W346,L5,194.1,28
2022-06-20,W347,L5,194.1,28
2022-06-27,W348,L5,194.1,28
2022-06-24,W349,L5,194.1,28
2022-06-20,W350,L5,194.1,28
2022-06-20,W351,L5,194.1,28
2022-06-14,W352,L5,194.1,28
2022-06-17,W353,L5,194.1,28
2022-06-13,W354,L5,194.1,28
2022-06-11,W355,L5,194.1,28
2022-06-11,W356,L5,194.1,28
2022-06-24,W357,L5,194.1,28
2022-06-21,W358,L5,194.1,28
2022-07-01,W359,L5,194.1,28
2022-06-26,W360,L5,194.1,28
2022-06-12,W361,L5,194.1,28
2022-06-12,W362,L5,194.1,28
2022-06-19,W363,L5,194.1,28
2022-06-26,W364,L5,194.1,28
2022-06-13,W365,L5,194.1,28
2022-06-23,W366,L5,194.1,28
2022-07-02,W367,L5,194.1,28
2022-06-10,W368,L5,194.1,28
2022-06-12,W369,L5,194.1,28
2022-06-15,W370,L5,194.1,28
2022-06-16,W371,L5,194.1,28
2022-06-21,W372,L5,194.1,28
2022-06-15,W373,L5,194.1,28
2022-06-17,W374,L5,194.1,28
2022-06-13,W375,L5,194.1,28
2022-06-27,W376,L5,194.1,28
2022-06-16,W377,L5,194.1,28
2022-06-26,W378,L5,194.1,28
2022-06-26,W379,L5,194.1,28
2022-06-30,W380,L5,194.1,28
2022-06-25,W381,L5,194.1,28
2022-06-08,W382,L5,194.1,28
2022-06-07,W383,L5,194.1,28
2022-07-02,W384,L5,194.1,28
2022-06-13,W385,L5,194.1,28
2022-06-22,W386,L5,194.1,28
2022-06-09,W387,L5,194.1,28
2022-07-02,W388,L5,194.1,28
2022-07-01,W389,L5,194.1,28
2022-06-30,W390,L5,194.1,28
2022-06-29,W391,L5,194.1,28
2022-06-07,W392,L5,194.1,28
2022-07-06,W393,L5,194.1,28
2022-06-21,W394,L5,194.1,28
2022-07-03,W395,L5,194.1,28
2022-07-06,W396,L5,194.1,28
2022-07-05,W397,L5,194.1,28
2022-06-09,W398,L5,194.1,28
2022-06-29,W399,L5,194.1,28
2022-06-22,W400,L5,194.1,28
2022-06-28,W401,L5,194.1,28
2022-06-30,W402,L5,194.1,28
2022-06-27,W403,L5,194.1,28
2022-07-02,W404,L5,194.1,28
2022-06-22,W405,L5,194.1,28
2022-06-08,W406,L5,194.1,28
2022-06-20,W407,L5,194.1,28
2022-06-29,W408,L5,194.1,28
2022-06-07,W409,L5,194.1,28
2022-06-09,W410,L5,194.1,28
2022-07-03,W411,L5,194.1,28
2022-07-02,W412,L5,194.1,28
2022-07-03,W413,L5,194.1,28
2022-06-30,W414,L5,194.1,28
2022-06-12,W415,L5,194.1,28
2022-06-22,W416,L5,194.1,28
2022-06-28,W417,L5,194.1,28
2022-06-28,W418,L5,194.1,28
2022-06-23,W419,L5,194.1,28
2022-06-30,W420,L5,194.1,28
2022-06-10,W421,L5,194.1,28
2022-06-25,W422,L5,194.1,28
2022-06-21,W423,L5,194.1,28
2022-06-30,W424,L5,194.1,28
2022-06-12,W425,L5,194.1,28
2022-06-21,W426,L5,194.1,28
2022-07-03,W427,L5,194.1,28
2022-06-21,W428,L5,194.1,28
2022-06-16,W429,L5,194.1,28
2022-06-26,W430,L5,194.1,28
2022-06-13,W431,L5,194.1,28
2022-07-06,W432,L5,194.1,28
2022-07-03,W433,L5,194.1,28
2022-07-04,W434,L5,194.1,28
2022-06-27,W435,L5,194.1,28
2022-06-15,W436,L5,194.1,28
2022-06-28,W437,L5,194.1,28
2022-06-26,W438,L5,194.1,28
2022-06-12,W439,L5,194.1,28
2022-07-04,W440,L5,194.1,28
2022-06-17,W441,L5,194.1,28
2022-06-30,W442,L5,194.1,28
2022-07-03,W443,L5,194.1,28
2022-07-04,W444,L5,194.1,28
2022-07-01,W445,L5,194.1,28
2022-07-04,W446,L5,194.1,28
2022-07-05,W447,L5,194.1,28
2022-06-17,W448,L5,194.1,28
2022-06-26,W449,L5,194.1,28
2022-07-02,W450,L5,194.1,28
2022-06-29,W451,L5,194.1,28
2022-06-10,W452,L5,194.1,28
2022-06-07,W453,L5,194.1,28
2022-06-08,W454,L5,194.1,28
2022-07-03,W455,L5,194.1,28
2022-06-12,W456,L5,194.1,28
2022-06-24,W457,L5,194.1,28
2022-06-23,W458,L5,194.1,28
2022-06-26,W459,L5,194.1,28
2022-06-28,W460,L5,194.1,28
2022-06-07,W461,L5,194.1,28
2022-06-27,W462,L5,194.1,28
2022-06-20,W463,L5,194.1,28
2022-06-17,W464,L5,194.1,28
2022-07-05,W465,L5,194.1,28
2022-06-29,W466,L5,194.1,28
2022-07-02,W467,L5,194.1,28
2022-06-23,W468,L5,194.1,28
2022-06-20,W469,L5,194.1,28
2022-06-19,W470,L5,194.1,28
2022-06-16,W471,L5,194.1,28
2022-06-13,W472,L5,194.1,28
2022-06-19,W473,L5,194.1,28
2022-06-24,W474,L5,194.1,28
2022-06-14,W475,L5,194.1,28
